category,rating,reviews,content_rating,last_updated_on,price_transformed,size_transformed,release_transformed,os_transformed,downloads
Tools,4.1,37975,Everyone,2018-03-09,0.0,23M,1.4.0,4.1 and up,"5,000,000+"
Game Arcade,3.72,20325,Everyone,2015-03-25,0.0,40M,1.6,2.3.3 and up,"1,000,000+"
Health And Fitness,4.63,12197,Teen,2020-05-01,0.0,75M,3.13.4,4.1 and up,"500,000+"
Music And Audio,4.56,23260,Everyone,2020-03-23,0.0,28M,6.8,4.3 and up,"500,000+"
Shopping,3.78,341,Everyone,2020-04-10,0.0,11M,2.1.2,4.0.3 and up,"500,000+"
Game Action,4.47,681154,Teen,2020-05-01,0.0,99M,1.28.2.2,4.0.3 and up,"10,000,000+"
Finance,4.22,14218,Everyone,2020-04-27,0.0,70M,5.12.0,4.1 and up,"1,000,000+"
Family,3.8,3478,Everyone,2019-03-31,0.0,95M,4.0,4.1 and up,"1,000,000+"
Communication,4.36,45730,Everyone,2019-11-29,0.0,19M,3.2.1,4.0 and up,"5,000,000+"
Dating,5.0,5,Teen,2019-08-18,0.0,9.3M,4.0,4.0.3 and up,500+
Photography,4.79,3591,Teen,2019-11-23,0.0,3.8M,1,4.1 and up,"50,000+"
Social,4.5,40467,Everyone,2019-09-06,0.0,22M,5.03,4.1 and up,"1,000,000+"
Tools,4.0,60,Everyone,2019-04-23,0.0,3.7M,1.0,5.0 and up,"5,000+"
Finance,4.36,187122,Everyone,2020-04-18,0.0,89M,3.17.0,4.1 and up,"10,000,000+"
Game Action,4.57,29972,Teen,2020-04-29,0.0,84M,2.2.0,4.2 and up,"1,000,000+"
Tools,4.13,240,Everyone,2020-05-05,0.0,2.9M,3,4.0 and up,"10,000+"
Productivity,4.6,209696,Everyone,2019-07-23,0.0,49M,3.2.258b ae1da5165,4.3 and up,"5,000,000+"
Video Players,4.57,433882,Everyone,2020-04-23,0.0,18M,2.0.0,4.0.3 and up,"10,000,000+"
Tools,4.09,1172,Everyone,2020-03-10,0.0,3.4M,1.4,4.1 and up,"50,000+"
Business,4.02,19732,Everyone,2020-04-09,0.0,7.7M,6.27.9.91528,4.0 and up,"50,000,000+"
Books And Reference,4.9,15794,Everyone,2020-05-03,0.0,9.7M,1.6.3,4.0 and up,"100,000+"
Communication,4.0,122512,Everyone,2016-10-06,0.0,79k,0.1.100944346,4.0.3 and up,"10,000,000+"
Entertainment,4.0,319692,Teen,2019-09-07,0.0,,,5.0 and up,"10,000,000+"
Game Trivia,4.17,13280,Everyone,2019-12-03,0.0,4.3M,1.7,4.0.3 and up,"500,000+"
Music And Audio,4.8,153,Teen,2020-05-01,0.0,34M,1.1.6,4.0.3 and up,"10,000+"
Productivity,4.81,76678,Everyone,2020-03-04,0.0,4.3M,2.6,4.4 and up,"1,000,000+"
Tools,4.06,9209,Everyone,2020-05-06,0.0,,3,5.0 and up,"1,000,000+"
Tools,4.39,738,Everyone,2018-05-02,0.0,2.5M,1.2.6,2.3 and up,"100,000+"
Entertainment,4.13,4924,Everyone,2020-04-03,0.0,11M,1.9.1,4.0 and up,"500,000+"
Game Puzzle,4.61,61,Everyone,2019-12-27,0.0,5.4M,1.3.3,4.1 and up,"10,000+"
Tools,3.96,77,Everyone,2016-07-22,0.0,3.2M,2.1.122,2.3 and up,"10,000+"
House And Home,3.8,2496,Everyone,2019-08-09,0.0,,,,"500,000+"
Books And Reference,4.1,52312,Teen,2019-06-23,0.0,11M,5.3.4,4.4 and up,"5,000,000+"
Education,4.36,50,Everyone,2019-09-17,0.0,2.8M,1.2.17,4.0.3 and up,"10,000+"
Game,4.4,98123,Teen,2019-06-29,0.0,40M,1.7.0,4.1 and up,"10,000,000+"
Health And Fitness,4.91,23,Everyone,2017-06-06,148.4142,38M,1.39,4.0.3 and up,"1,000+"
Travel And Local,4.08,2103,Everyone,2020-01-22,0.0,2.1M,7.9.18,5.0 and up,"100,000+"
Business,4.06,17,Everyone,2018-09-26,0.0,1.8M,2,3.0 and up,"5,000+"
Game Arcade,3.64,17716,Everyone,2019-12-24,0.0,48M,2.0.7,4.4 and up,"1,000,000+"
Game Arcade,4.25,1734,Everyone,2018-05-01,0.0,60M,2.08,2.3 and up,"100,000+"
Beauty,4.5,327,Everyone,2020-03-08,0.0,23M,1.0.3,4.0 and up,"10,000+"
Lifestyle,4.63,27,Everyone,2020-02-06,0.0,92M,1,4.4 and up,"10,000+"
Tools,4.3,32207,Everyone,2018-09-20,0.0,3.4M,1.1.8.2,2.1 and up,"1,000,000+"
Sports,4.02,125045,Everyone,2020-04-16,0.0,,,,"10,000,000+"
Comics,4.4,5968,Everyone,2019-07-02,0.0,5.7M,1.4,4.0 and up,"1,000,000+"
Game Adventure,4.51,908,Everyone,2018-01-10,0.0,34M,1.3,2.3 and up,"50,000+"
Game,4.1,71476,Everyone 10+,2019-05-26,0.0,50M,2.14,4.0 and up,"1,000,000+"
Game Puzzle,4.44,74373,Everyone,2020-04-25,0.0,14M,1.3.7,4.0.3 and up,"1,000,000+"
Travel And Local,3.62,207,Everyone,2020-04-30,0.0,14M,4.5.0,4.2 and up,"50,000+"
Music And Audio,4.56,20054,Everyone,2020-04-10,0.0,6.8M,1.0.9,4.2 and up,"1,000,000+"
Education,4.33,42,Everyone,2020-01-27,0.0,5.1M,7,4.1 and up,"10,000+"
Game,4.5,49971,Everyone,2018-10-03,0.0,61M,1.3.1,4.0.3 and up,"5,000,000+"
Communication,4.08,26772,Everyone,2020-05-01,0.0,15M,4.2.1,4.1 and up,"1,000,000+"
Lifestyle,4.0,3,Everyone,2019-07-07,0.0,3.3M,3.0.0,4.4 and up,"1,000+"
House And Home,4.6,353813,Everyone,2019-09-05,0.0,,,,"10,000,000+"
Game Adventure,3.54,26,Everyone,2019-03-03,0.0,16M,1,2.0 and up,"1,000+"
Game Casual,4.42,435711,Everyone,2020-03-11,0.0,60M,1.30.5,4.1 and up,"10,000,000+"
Game Action,4.26,398549,Teen,2020-05-01,0.0,95M,1.39.01,4.1 and up,"10,000,000+"
Family,4.1,3234,Everyone,2019-06-19,0.0,47M,2.2.3,4.1 and up,"100,000+"
Game Puzzle,4.57,51031,Everyone,2020-04-25,0.0,79M,1.7.2,5.0 and up,"1,000,000+"
Music And Audio,4.04,383,Everyone,2020-04-25,0.0,9.4M,5.2.0.1,5.0 and up,"10,000+"
Video Players,4.27,96735,Teen,2020-04-12,0.0,6.1M,1.0.8,4.4 and up,"10,000,000+"
Productivity,4.2,5,Everyone,2017-08-31,0.0,31M,1.2.0,4.0 and up,500+
Game Action,4.23,240210,Everyone 10+,2020-01-17,0.0,54M,2.0.9,4.1 and up,"10,000,000+"
Shopping,5.0,1,Everyone,2019-08-15,0.0,1.1M,1.0,4.0 and up,10+
Entertainment,3.29,128,Everyone,2020-04-17,0.0,5.1M,1.2.5.5,7.0 and up,"1,000,000+"
Finance,4.3,16600,Everyone,2019-07-24,0.0,24M,1.7.7,4.4 and up,"1,000,000+"
Health And Fitness,4.01,2494,Everyone 10+,2020-04-14,0.0,4.4M,2,4.1 and up,"500,000+"
Photography,4.35,39849,Everyone,2020-03-22,0.0,,,,"1,000,000+"
Game Sports,4.62,5826368,Everyone,2020-04-17,0.0,100M,2.11,4.4 and up,"100,000,000+"
Medical,4.72,331,Everyone,2020-03-26,0.0,38M,4.5,4.1 and up,"10,000+"
Finance,4.1,138371,Everyone,2019-09-06,0.0,,,4.0.3 and up,"5,000,000+"
Communication,4.6,94,Everyone,2016-03-20,185.70420000000001,1.1M,2.1.1,2.2 and up,"1,000+"
Tools,4.5,2,Everyone,2016-03-18,0.0,1.6M,1.3,4.0 and up,100+
Finance,3.79,84320,Everyone,2020-03-31,0.0,84M,9.9,5.0 and up,"5,000,000+"
Education,4.74,2587,Teen,2020-03-05,0.0,33M,1.12.7,5.0 and up,"50,000+"
Video Players,4.04,2362,Everyone,2020-02-21,0.0,3.2M,17.01.19,3.0 and up,"500,000+"
Health And Fitness,3.56,347512,Everyone,2020-04-30,0.0,68M,3.5.9,4.4 and up,"10,000,000+"
Tools,4.45,3934,Teen,2019-12-28,0.0,7.1M,V1.3.35,4.4 and up,"10,000,000+"
Tools,3.3,16,Everyone,2017-12-10,0.0,1.3M,2.0,4.0 and up,"10,000+"
Medical,4.6,47,Everyone,2019-09-06,0.0,21M,1.7.1 (946),5.0 and up,"10,000+"
Social,4.7,144,Teen,2018-03-07,0.0,12M,1.0.12,4.0.3 and up,"1,000+"
Finance,4.15,2683,Everyone,2020-03-13,0.0,7.3M,1.1.4,4.3 and up,"100,000+"
Education,4.56,7792,Everyone,2019-05-30,0.0,2.4M,5.1.16,4.1 and up,"1,000,000+"
Tools,4.57,369676,Everyone,2020-04-13,0.0,7.7M,8.3.2,1.5 and up,"10,000,000+"
Art And Design,4.44,603,Everyone,2020-04-19,0.0,10M,1.0.7,4.0 and up,"100,000+"
Tools,4.78,51,Everyone,2020-02-04,0.0,17M,1.3,4.0 and up,"5,000+"
Lifestyle,4.66,139,Everyone,2020-01-11,0.0,16M,4,4.4 and up,"50,000+"
Medical,4.3,64,Everyone,2020-04-15,446.7342,14M,2.0.6,4.4 and up,"5,000+"
Social,3.98,6314,Everyone,2020-03-25,0.0,12M,7.4.3,4.0 and up,"1,000,000+"
News And Magazines,4.18,11,Everyone,2020-04-15,0.0,7.7M,6.0.0,5.0 and up,"1,000+"
Productivity,4.72,6207,Everyone,2020-04-07,0.0,7.2M,2.4.2,4.2 and up,"500,000+"
Health And Fitness,4.6,1873516,Everyone,2019-09-04,0.0,,,,"50,000,000+"
Game Educational,3.88,135,Everyone,2015-12-22,0.0,,0.4.5,4.0 and up,"5,000+"
Education,4.0,1,Everyone,2020-05-02,0.0,50M,1.3.0,4.1 and up,100+
Game Arcade,4.42,40638,Everyone,2019-01-24,0.0,,1.13.4,4.4 and up,"5,000,000+"
Family,4.6,67,Everyone,2019-09-08,0.0,31M,1.7,4.1 and up,"10,000+"
Lifestyle,4.55,804,Everyone,2019-11-06,0.0,6.6M,1,4.0.3 and up,"100,000+"
Communication,4.4,9,Everyone,2018-07-03,0.0,4.2M,3.8.8,2.2 and up,"5,000+"
Medical,3.0,2,Everyone,2019-08-21,0.0,16M,1.2.9,4.4 and up,500+
Education,5.0,8,Everyone,2019-10-05,0.0,3.5M,1.2,4.1 and up,100+
Business,3.52,29,Everyone,2020-04-18,0.0,4.8M,1.0.7,5.0 and up,"10,000+"
Sports,4.1,19230,Everyone,2019-07-04,0.0,88M,4.5.19.56,4.1 and up,"1,000,000+"
Travel And Local,3.88,1177,Everyone,2020-04-30,0.0,89M,1.10.4,7.0 and up,"100,000+"
Health And Fitness,4.2,270267,Everyone,2019-09-04,0.0,58M,6.15.0,4.1 and up,"5,000,000+"
Books And Reference,4.37,401,Everyone,2020-05-03,0.0,27M,4,4.1 and up,"50,000+"
Game Casual,4.53,77255,Everyone 10+,2020-04-25,0.0,49M,1.2.4,4.0.3 and up,"10,000,000+"
Productivity,4.62,854,Everyone,2019-10-27,0.0,2.6M,10.23,4.1 and up,"10,000+"
Tools,4.3,128,Everyone,2019-12-24,0.0,3.1M,1,4.0.3 and up,"10,000+"
Productivity,4.08,450,Everyone,2020-03-07,0.0,16M,1.63.0.2019012404,4.4 and up,"100,000+"
Lifestyle,4.0,6,Everyone,2020-04-06,0.0,3.6M,1.3.13,5.0 and up,"1,000+"
News And Magazines,5.0,2,Everyone,2020-04-14,0.0,7.8M,6.0.0,5.0 and up,"1,000+"
Game Casual,4.5,239158,Teen,2020-04-14,0.0,111M,8.3.0,4.0.3 and up,"5,000,000+"
Game Word,4.52,5932,Everyone,2020-02-01,0.0,23M,1.42,4.1 and up,"500,000+"
Personalization,4.36,72,Everyone,2018-05-17,0.0,5.4M,1.1,4.0.3 and up,"50,000+"
Productivity,4.28,109,Everyone,2016-02-01,0.0,10k,1,4.1 and up,"5,000+"
Video Players,3.92,2197,Everyone,2019-11-29,0.0,21M,4.7.1,4.0 and up,"500,000+"
Game Action,4.55,261324,Everyone 10+,2020-03-21,0.0,33M,2.4.3.1,4.1 and up,"10,000,000+"
Family,4.5,472247,Everyone,2019-09-04,0.0,,1.5.10,4.1 and up,"50,000,000+"
Tools,4.5,342336,Everyone,2016-09-13,0.0,,,,"10,000,000+"
Tools,4.75,8,Everyone,2020-02-18,0.0,47M,1.9.0,4.4 and up,"1,000+"
Education,4.5,38,Everyone,2020-02-13,0.0,19M,3.6,4.0.3 and up,"10,000+"
Photography,4.21,654,Everyone,2020-04-01,0.0,23M,1.42,4.1 and up,"50,000+"
Game Puzzle,4.05,296,Everyone,2020-03-01,0.0,22M,1.1,4.0.3 and up,"50,000+"
Lifestyle,4.26,209,Everyone,2019-12-14,0.0,53M,6,5.0 and up,"10,000+"
Social,4.26,459182,Mature 17+,2020-04-24,0.0,,,,"10,000,000+"
Maps And Navigation,4.19,3266,Everyone,2020-05-06,0.0,11M,4.39.4,4.0.3 and up,"100,000+"
Communication,4.6,265,Everyone,2019-02-10,222.9942,2.6M,2.28,2.3 and up,"10,000+"
Game Racing,4.51,115112,Everyone,2019-12-25,0.0,,1.1.5,,"10,000,000+"
Books And Reference,4.74,21959,Everyone,2020-03-13,0.0,19M,5.3,4.1 and up,"1,000,000+"
Social,3.7,2111,Mature 17+,2019-09-10,0.0,11M,4.1.23,4.4 and up,"100,000+"
Game Adventure,4.61,4509,Everyone,2019-03-25,0.0,34M,1.11,2.3 and up,"500,000+"
Game Casual,4.7,832,Everyone,2020-05-06,0.0,51M,5.5.3,4.2 and up,"10,000+"
Food And Drink,3.48,24865,Everyone,2020-04-03,0.0,58M,2.10.1,4.4 and up,"1,000,000+"
Tools,4.1,108169,Everyone,2019-07-30,0.0,,,,"10,000,000+"
Entertainment,4.59,62792,Everyone,2020-05-07,0.0,9.4M,1.10.0,4.2 and up,"1,000,000+"
Music And Audio,4.65,1643,Everyone,2020-04-24,0.0,100M,2.1.3,4.0.3 and up,"100,000+"
Entertainment,3.21,146,Everyone,2017-10-11,0.0,11M,2.3,2.2 and up,"50,000+"
Entertainment,4.52,2439,Everyone,2020-04-07,0.0,96M,2.2,4.2 and up,"100,000+"
Game Puzzle,4.68,19057,Everyone,2017-12-21,0.0,56M,1.0.2,4.0.3 and up,"500,000+"
Productivity,4.3,549900,Everyone,2019-08-22,0.0,60M,7.3.30,4.1 and up,"10,000,000+"
Family,4.7,27,Everyone,2017-02-23,0.0,772k,1.0,3.0 and up,"5,000+"
Shopping,4.23,29022,Teen,2020-05-06,0.0,26M,2.42,5.0 and up,"1,000,000+"
Game Educational,4.5,8,Everyone,2019-11-15,0.0,2.8M,1.0.4,4.0 and up,500+
News And Magazines,3.65,11853,Mature 17+,2020-05-05,0.0,5.8M,4.2.1,4.4 and up,"1,000,000+"
Personalization,4.58,1195,Everyone,2020-04-04,0.0,22M,2.1,4.3 and up,"100,000+"
Productivity,4.5,155999,Everyone,2019-09-09,0.0,12M,12.8.2,4.4 and up,"10,000,000+"
Lifestyle,4.54,3841,Everyone,2020-03-02,0.0,31M,1.2,4.2 and up,"100,000+"
Communication,4.4,25,Everyone,2019-07-08,0.0,2.9M,0.3.7,4.4 and up,"5,000+"
Game Casual,4.41,589008,Everyone 10+,2020-04-15,0.0,16M,7.2.1,4.1 and up,"10,000,000+"
Events,4.6,573,Everyone,2019-08-16,0.0,8.7M,1.40,4.2 and up,"100,000+"
News And Magazines,3.2,123,Everyone 10+,2020-02-26,0.0,,,4.1 and up,"5,000+"
Game Card,4.42,3897,Everyone,2020-04-23,0.0,25M,1.9,4.0.3 and up,"50,000+"
Game Strategy,4.63,1012020,Teen,2020-02-06,0.0,83M,1.10.28,4.4 and up,"50,000,000+"
Tools,3.7,35293,Everyone,2020-05-01,0.0,,,,"5,000,000+"
Video Players,4.36,7120,Everyone,2015-04-21,0.0,1.4M,1,2.3.3 and up,"100,000+"
Shopping,3.44,18,Everyone,2015-01-05,0.0,55k,1.2,2.2 and up,"1,000+"
Game Card,4.68,94299,Everyone,2020-04-07,0.0,,,,"5,000,000+"
Medical,4.4,15875,Everyone,2019-06-26,0.0,,,4.4 and up,"1,000,000+"
Finance,4.08,7002,Everyone,2020-03-16,0.0,10.0M,2.0.1,5.0 and up,"100,000+"
Game,4.3,6698,Everyone 10+,2017-06-18,0.0,46M,1.0.1,2.3 and up,"500,000+"
Game Action,4.55,100622,Teen,2018-04-10,0.0,37M,1.1.39,4.0.3 and up,"5,000,000+"
Books And Reference,4.69,209,Everyone,2020-03-31,745.0542,,,,"5,000+"
Video Players,3.91,526,Everyone,2020-05-07,0.0,7.5M,1.4.0,4.1 and up,"100,000+"
Lifestyle,5.0,1,Everyone,2020-01-13,0.0,3.8M,1,4.1 and up,100+
Education,4.52,982,Everyone,2020-04-24,0.0,4.4M,1.1,4.1 and up,"100,000+"
Game Puzzle,5.0,5,Everyone,2020-03-24,0.0,36M,1,4.4 and up,10+
Shopping,4.38,130,Everyone,2019-06-28,0.0,21M,1.4.0,4.4 and up,"50,000+"
Shopping,4.13,430,Everyone,2020-04-22,0.0,48M,1.0.22,4.4 and up,"100,000+"
Social,3.91,65712,Teen,2020-04-29,0.0,,,,"10,000,000+"
Education,5.0,2,Everyone,2020-01-07,0.0,12M,1.6,4.4 and up,100+
News And Magazines,3.65,139,Everyone 10+,2020-04-09,0.0,71M,5.16.1,5.0 and up,"10,000+"
Game Role Playing,3.43,196,Everyone,2018-02-20,0.0,28M,1.28,4.4 and up,"10,000+"
Social,3.4,44,Teen,2019-06-25,0.0,6.3M,Https,4.1 and up,"1,000+"
Communication,4.19,11390281,Everyone,2020-04-23,0.0,94M,9.4.2,4.4 and up,"500,000,000+"
Medical,4.3,283,Everyone,2019-08-16,0.0,12M,4.5.3,4.4 and up,"5,000+"
Game,4.5,3197865,Everyone,2019-08-16,0.0,82M,2.8.0,4.0.3 and up,"100,000,000+"
News And Magazines,4.1,49259,Everyone 10+,2019-09-06,0.0,,,,"5,000,000+"
Books And Reference,4.78,1088,Everyone,2020-02-21,0.0,26M,6.2.1,4.1 and up,"100,000+"
Shopping,4.0,13085,Teen,2018-12-13,0.0,2.7M,5.1,4.0.3 and up,"1,000,000+"
Medical,4.55,22,Everyone,2020-02-01,297.5742,23M,2.2,4.4 and up,"5,000+"
Personalization,4.3,495748,Everyone,2019-09-02,0.0,,,,"50,000,000+"
Lifestyle,3.91,35026,Teen,2020-04-04,0.0,21M,4.3.4,5.0 and up,"1,000,000+"
Auto And Vehicles,4.8,7021,Everyone,2019-08-31,0.0,17M,1.79,4.0 and up,"500,000+"
Game Simulation,4.3,192423,Everyone,2020-04-14,0.0,46M,1.8.9,4.1 and up,"10,000,000+"
Music And Audio,4.26,41990,Everyone,2017-12-28,0.0,2.0M,1.1.0,3.0 and up,"5,000,000+"
Game Puzzle,4.63,7668,Everyone,2020-04-11,0.0,31M,1.14,4.3 and up,"100,000+"
Game Adventure,4.6,470576,Teen,2020-03-13,0.0,,1.95.2,5.0 and up,"5,000,000+"
News And Magazines,4.47,443,Everyone,2019-10-23,0.0,14M,1.3,4.2 and up,"50,000+"
Entertainment,5.0,1,Everyone,2020-02-17,0.0,14M,1,4.0.3 and up,500+
Travel And Local,4.75,2342,Everyone,2020-03-19,0.0,25M,0.25.0101-refraction,4.0.3 and up,"100,000+"
Productivity,4.1,979,Everyone,2014-11-04,0.0,720k,2.1.3,2.2 and up,"100,000+"
News And Magazines,4.48,21,Everyone 10+,2020-05-01,0.0,,,,"1,000+"
Game Educational,4.55,47130,Everyone,2020-04-17,0.0,78M,8.30.10.00,4.2 and up,"5,000,000+"
Books And Reference,3.57,30,Everyone,2019-09-21,0.0,1.6M,1.0.4,4.0 and up,"1,000+"
Game Action,4.27,26021,Everyone 10+,2016-10-11,0.0,36M,1.1.2,2.3 and up,"500,000+"
Travel And Local,3.34,795,Everyone,2019-06-02,0.0,2.6M,73,4.0 and up,"100,000+"
Lifestyle,5.0,5,Everyone,2020-04-16,0.0,7.2M,1,4.4 and up,10+
Finance,4.28,371,Everyone,2020-04-01,0.0,39M,1.0.2,4.4 and up,"50,000+"
Tools,4.4,9,Everyone,2019-06-07,222.9942,33M,0.6.2,4.3 and up,50+
Game Word,4.7,1543,Everyone,2019-10-17,0.0,17M,1.3.0,4.1 and up,"100,000+"
Family,4.5,38,Everyone,2018-10-26,0.0,6.5M,1.0.3,4.0.3 and up,"1,000+"
Tools,4.83,12,Everyone,2020-04-24,0.0,5.6M,2.8,4.4 and up,50+
Health And Fitness,3.5,8,Everyone,2019-08-02,0.0,7.9M,1.0060.b0060,5.0 and up,"1,000+"
Weather,4.75,57,Everyone,2020-04-29,409.4442,19M,9.0.1-pro,4.1 and up,500+
Game Strategy,4.77,4529,Everyone,2020-04-06,148.4142,23M,1.13.2,2.2 and up,"50,000+"
Maps And Navigation,4.2,43269,Everyone,2019-08-22,0.0,,4.4.7,,"5,000,000+"
Entertainment,4.86,57622,Everyone,2020-04-21,0.0,87M,6.1.0,4.0.3 and up,"500,000+"
Photography,4.5,267378,Everyone,2016-08-14,0.0,1.9M,1.4.6,4.0 and up,"10,000,000+"
Game Strategy,3.95,9289,Everyone 10+,2016-02-26,148.4142,45M,1.3.2,4.0 and up,"100,000+"
Game Educational,4.19,1363,Everyone,2017-03-22,297.5742,58M,1.6,4.0 and up,"50,000+"
Productivity,4.2,37204,Everyone,2019-08-25,0.0,19M,3.4.4.4-gp,4.0 and up,"1,000,000+"
Music And Audio,4.16,852308,Teen,2020-04-29,0.0,25M,3.8.087,4.4 and up,"10,000,000+"
Family,2.4,468,Everyone,2019-04-07,0.0,7.2M,0.0.1,4.1 and up,"10,000+"
Books And Reference,4.6,1655,Everyone,2020-05-03,0.0,3.8M,7.5,4.1 and up,"100,000+"
Lifestyle,4.49,37,Everyone,2019-11-29,0.0,14M,1.04,4.0.3 and up,"10,000+"
Family,4.4,1595,Everyone,2019-08-08,0.0,14M,2.8,4.0.3 and up,"500,000+"
Tools,4.61,20703,Everyone,2020-03-02,0.0,4.2M,1.0.14-release,4.4 and up,"500,000+"
Business,5.0,1,Everyone,2019-11-05,0.0,13M,1.0.0,4.0.3 and up,100+
Personalization,4.29,7,Everyone,2018-11-22,0.0,91M,1.3,4.1 and up,"1,000+"
Health And Fitness,4.86,85082,Everyone,2020-01-24,0.0,12M,1.0.7,4.2 and up,"10,000,000+"
Game Casual,3.95,65,Everyone,2018-05-11,0.0,36M,1.4,4.1 and up,"10,000+"
Lifestyle,4.61,127508,Everyone,2020-04-27,0.0,,,,"5,000,000+"
Auto And Vehicles,4.6,65786,Everyone,2019-09-06,0.0,,,4.0.3 and up,"1,000,000+"
Productivity,3.22,7030,Everyone,2019-11-21,0.0,3.3M,3.6.1-mobileaccess2,4.3 and up,"1,000,000+"
Entertainment,4.27,3363,Everyone,2020-02-01,0.0,4.2M,Ps-mss-dec18,4.0 and up,"100,000+"
Education,4.53,705,Everyone,2019-07-11,0.0,17M,1.1,4.1 and up,"100,000+"
Game,4.4,4920817,Everyone 10+,2019-07-20,0.0,,,,"100,000,000+"
News And Magazines,4.48,93,Everyone,2020-02-26,0.0,11M,6.9,4.1 and up,"1,000+"
Business,4.07,23540,Everyone,2020-04-30,0.0,,128.0.0.43.82,4.1 and up,"5,000,000+"
Photography,4.42,40177,Everyone,2020-03-05,0.0,22M,2,4.0.3 and up,"5,000,000+"
Game Role Playing,2.77,50866,Everyone,2015-09-26,0.0,17M,2.003.005,3.2 and up,"1,000,000+"
Entertainment,4.78,54,Everyone,2020-03-17,0.0,54M,1.2.1,4.1 and up,"10,000+"
Personalization,4.85,143,Everyone,2019-09-30,0.0,24M,1.3,4.0.3 and up,"10,000+"
Game Casual,4.06,3046,Everyone,2019-08-23,0.0,36M,1.3.0,4.1 and up,"100,000+"
Entertainment,4.26,3323,Everyone,2019-10-29,0.0,11M,1.2,4.1 and up,"1,000,000+"
Tools,4.51,481782,Everyone,2017-10-10,0.0,,,,"10,000,000+"
Auto And Vehicles,3.96,2541,Everyone,2020-04-02,0.0,17M,2.16.11.20,5.0 and up,"500,000+"
Books And Reference,4.58,146,Everyone,2019-07-11,148.4142,19M,2.06,4.0.3 and up,"5,000+"
Communication,4.01,498,Everyone,2020-04-01,0.0,10M,7.22,4.1 and up,"50,000+"
Game Educational,4.58,74,Everyone,2016-04-04,222.9942,8.9M,1.1.7,2.2 and up,"1,000+"
Music And Audio,4.53,55,Everyone,2020-02-09,0.0,41M,1,4.0 and up,"10,000+"
Books And Reference,4.52,541,Everyone,2019-06-01,0.0,3.6M,8.1,4.0 and up,"50,000+"
Education,4.37,694,Everyone,2019-12-10,0.0,4.7M,1.2.6,5.0 and up,"100,000+"
Sports,4.32,3350,Everyone,2017-11-16,0.0,3.6M,1.11.0,2.3 and up,"500,000+"
Education,4.83,1012,Everyone,2020-03-03,0.0,38M,1.08,4.0.3 and up,"10,000+"
Game Card,4.5,38256,Teen,2020-04-14,0.0,,7.1.0,4.1 and up,"1,000,000+"
Personalization,4.6,7264,Everyone,2018-12-21,148.4142,,3.6.46,,"100,000+"
Tools,3.0,1,Everyone,2017-12-01,0.0,55M,2.35.1,4.1 and up,100+
Communication,4.3,125,Everyone,2018-11-20,0.0,53M,60.0.3112.3046279,4.1 and up,"5,000+"
Finance,4.52,50960,Everyone,2020-04-29,0.0,24M,1.34.1.7118,5.0 and up,"1,000,000+"
Lifestyle,4.41,24502,Everyone,2020-04-15,0.0,12M,2.3.11,4.1 and up,"500,000+"
Personalization,3.58,72,Everyone,2020-03-27,148.4142,8.1M,4.7,5.0 and up,"5,000+"
Music And Audio,4.54,147,Everyone,2020-02-21,0.0,3.4M,3,4.0 and up,"10,000+"
Medical,4.05,81,Everyone,2020-05-07,0.0,37M,1.8.26,4.1 and up,"5,000+"
Health And Fitness,4.75,2007,Everyone,2020-05-04,0.0,3.9M,1.1.34,5.0 and up,"100,000+"
Productivity,4.39,85,Everyone,2020-04-02,0.0,5.9M,2.1,4.1 and up,"10,000+"
Productivity,4.16,377,Everyone,2017-11-28,372.1542,5.9M,1.07.58,4.0.3 and up,"5,000+"
Photography,4.51,4811,Everyone,2020-04-14,148.4142,,,,"50,000+"
News And Magazines,3.51,320,Everyone,2019-10-03,0.0,1.9M,1.2.0.6,2.3 and up,"100,000+"
News And Magazines,2.89,61,Everyone,2019-09-13,0.0,6.8M,2.1.0,4.1 and up,"10,000+"
Books And Reference,4.22,882,Everyone,2020-04-10,0.0,2.7M,07|03|19,4.1 and up,"50,000+"
Lifestyle,4.03,893,Everyone,2020-04-03,0.0,15M,16,4.0 and up,"100,000+"
Game Racing,4.44,35379,Everyone,2019-05-20,0.0,91M,1.5,4.4 and up,"5,000,000+"
Travel And Local,4.32,11015,Everyone,2020-05-01,0.0,,,,"1,000,000+"
Education,4.62,2394,Everyone,2020-02-02,0.0,3.5M,1.1.0,4.1 and up,"500,000+"
Shopping,4.07,170728,Everyone,2020-04-21,0.0,33M,3.13.0,4.1 and up,"10,000,000+"
Tools,4.26,19,Everyone,2018-10-09,0.0,28M,1.0.1,4.4 and up,"1,000+"
Food And Drink,4.24,863,Everyone,2020-05-01,0.0,54M,6.4.1.74628,5.0 and up,"50,000+"
Tools,4.2,370,Everyone,2019-11-01,0.0,2.1M,2.1,4.0 and up,"100,000+"
Music And Audio,4.26,104,Teen,2019-09-28,0.0,31M,1,4.0 and up,"10,000+"
Education,4.35,43,Everyone,2020-01-23,0.0,4.1M,1,4.1 and up,"1,000+"
News And Magazines,4.07,2077,Everyone 10+,2017-12-21,0.0,4.9M,4.1,4.0 and up,"50,000+"
Family,4.3,6078,Everyone,2018-12-15,0.0,37M,2.0.0,4.1 and up,"500,000+"
Entertainment,4.45,59322,Everyone,2020-03-29,0.0,7.3M,2019.02.23,4.0 and up,"5,000,000+"
