category,rating,reviews,size,price,content_rating,last_updated_on,release_version,os_version_required,downloads
Tools,3.92,12844,33M,Free,Everyone,Sep 28 2018,1.0.5,2.3.3 and up,"1,000,000+"
Music And Audio,4.2,5,15M,Free,Teen,Jan 21 2019,4.2.12,4.1 and up,"1,000+"
Education,4.6,513,4.2M,Free,Everyone,Apr 24 2020,6.1,4.1 and up,"50,000+"
Finance,2.41,274,102M,Free,Everyone,Apr 28 2020,3.1.046,4.4 and up,"10,000+"
Lifestyle,4.3,206,32M,372.1542,Everyone,Mar 18 2019,14.0,4.0.3 and up,"1,000+"
Game Educational,4.24,335,21M,Free,Everyone,Jul 17 2019,3.3,4.0 and up,"100,000+"
Shopping,4.3,2588,21M,Free,Everyone,Aug 27 2019,2.4.0,4.1 and up,"1,000,000+"
Education,4.56,312,15M,Free,Everyone,Feb 21 2020,9.0.1,4.1 and up,"5,000+"
Game Puzzle,4.03,2929,45M,Free,Everyone,Jan 12 2018,1.3.5,2.3 and up,"1,000,000+"
Tools,4.16,2441,17M,Free,Mature 17+,Jan 30 2020,0.0.0-34-meme,4.0.3 and up,"1,000,000+"
Education,4.55,910,14M,Free,Everyone,Nov 02 2019,4,4.1 and up,"100,000+"
Tools,4.55,53,3.0M,Free,Teen,Dec 02 2019,1.1.4,4.0.3 and up,"1,000+"
Finance,3.24,1218,14M,Free,Everyone,Mar 26 2020,2.0.2,4.4 and up,"500,000+"
Business,4.34,1931,18M,Free,Everyone,Mar 24 2020,6.25,4.4 and up,"100,000+"
Game Adventure,4.31,236094,25M,Free,Everyone,Apr 17 2020,1.2.1.53,4.0 and up,"10,000,000+"
Game,4.5,10460,18M,Free,Everyone,Aug 15 2019,2.2.3181,4.0 and up,"1,000,000+"
Shopping,4.2,5121,8.8M,Free,Everyone,Aug 17 2019,9.0.30,4.1 and up,"500,000+"
Communication,4.3,11334973,Varies with device,Free,Everyone,Aug 22 2019,Varies with device,Varies with device,"500,000,000+"
Tools,4.68,228,1.4M,Free,Everyone,Oct 25 2018,1,4.0.3 and up,"50,000+"
Game Casual,4.51,3333,Varies with device,372.1542,Everyone,Jan 23 2018,Varies with device,Varies with device,"50,000+"
Game Strategy,4.4,381,92M,446.7342,Teen,Jul 28 2018,1.1,4.1 and up,"10,000+"
Sports,4.89,18,58M,Free,Everyone,Nov 29 2019,1.1.1,4.3 and up,"1,000+"
Tools,4.6,443,3.9M,Free,Everyone,Apr 30 2020,V1.0.9,4.1 and up,"10,000+"
Education,4.44,6914,29M,Free,Everyone,Apr 21 2020,21,4.2 and up,"1,000,000+"
Family,3.7,452,30M,Free,Everyone,Mar 09 2019,1.0.8,4.4 and up,"100,000+"
Finance,3.84,5337,6.3M,Free,Everyone,Apr 07 2020,2.17.0.2,4.0 and up,"500,000+"
Video Players,4.57,20773,3.4M,Free,Everyone,Apr 18 2020,1.2.9,4.0.3 and up,"1,000,000+"
Travel And Local,4.3,2649,25M,Free,Everyone,Sep 07 2019,4.1.1,4.4 and up,"500,000+"
Medical,4.8,53747,13M,Free,Everyone,Aug 31 2019,Varies with device,4.3 and up,"1,000,000+"
Personalization,4.64,45010,3.8M,Free,Everyone,Apr 16 2020,3.3,4.1 and up,"1,000,000+"
Game Sports,4.44,3622206,Varies with device,Free,Everyone,Apr 25 2020,8.4.1,4.1 and up,"50,000,000+"
Medical,5.0,2,11M,Free,Mature 17+,Jul 11 2019,1.0.1,4.1 and up,100+
Game Sports,3.83,9065,31M,595.8942,Everyone,Apr 10 2020,52.0.1,4.3 and up,"50,000+"
Food And Drink,3.4,109784,64M,Free,Everyone,Sep 07 2019,4.0.30,4.0.3 and up,"10,000,000+"
Tools,4.82,28,7.5M,Free,Everyone,Jul 10 2019,1.3,4.3 and up,"1,000+"
Auto And Vehicles,4.42,76,Varies with device,Free,Everyone,Mar 01 2020,Varies with device,4.1 and up,"100,000+"
Sports,4.82,39,8.7M,Free,Everyone,Apr 23 2020,1.0.3,4.0.3 and up,"1,000+"
Tools,4.53,247,13M,Free,Everyone,Apr 27 2020,6.3.24.2019,4.0.3 and up,"10,000+"
Communication,4.43,3056,5.8M,Free,Everyone,Mar 31 2016,1.11,4.0 and up,"100,000+"
Entertainment,4.25,4,14M,Free,Everyone,May 06 2020,1.2,4.0.3 and up,"1,000+"
Education,4.13,228,20M,Free,Everyone,Jan 22 2020,1.0.12,4.1 and up,"10,000+"
Entertainment,3.17,6,34M,Free,Everyone,Mar 12 2020,2.16,4.1 and up,"1,000+"
Game Casual,4.36,102,34M,Free,Everyone,Feb 04 2020,1.01,4.1 and up,"10,000+"
Personalization,4.45,5790,17M,Free,Everyone,Apr 19 2020,3.0.6,5.0 and up,"100,000+"
Maps And Navigation,4.06,18,3.7M,Free,Everyone,Feb 08 2020,1.1.3,4.0 and up,"5,000+"
Lifestyle,4.56,181,21M,Free,Everyone,Apr 08 2020,8,4.0 and up,"5,000+"
Finance,4.7,396,12M,Free,Everyone,Sep 09 2019,3.1.5,5.0 and up,"10,000+"
Entertainment,4.44,1179,23M,Free,Everyone,Apr 03 2020,1.12.14,4.0.3 and up,"100,000+"
Family,4.3,139545,63M,Free,Everyone,Mar 06 2019,1.6.1326,4.1 and up,"10,000,000+"
Health And Fitness,3.46,300,17M,Free,Everyone,Apr 24 2020,3.0.8,5.0 and up,"10,000+"
News And Magazines,4.26,42524,Varies with device,Free,Everyone,May 06 2020,Varies with device,Varies with device,"1,000,000+"
Game Puzzle,4.55,778,100M,73.8342,Teen,Jul 20 2019,2.1.1,2.3 and up,"10,000+"
Books And Reference,4.97,158,59k,222.9942,Everyone,Aug 12 2015,1,1.6 and up,500+
Game Puzzle,4.5,2082,31M,73.8342,Everyone,Apr 17 2020,2,4.1 and up,"100,000+"
Health And Fitness,4.64,57700,4.7M,Free,Everyone,Feb 27 2020,2.8,4.4 and up,"1,000,000+"
Health And Fitness,4.53,10011,40M,Free,Everyone,Apr 03 2020,2.6.1,5.0 and up,"1,000,000+"
Medical,5.0,6,26M,Free,Everyone,Jun 29 2019,1.0.32,4.4 and up,"1,000+"
Game,4.1,609,13M,Free,Everyone,Jun 18 2015,1.7,2.2 and up,"10,000+"
Family,3.1,192,66M,Free,Everyone,Aug 11 2018,1.1.6,4.1 and up,"10,000+"
Lifestyle,4.47,125,4.3M,Free,Everyone,Mar 28 2020,1.0.28,5.1 and up,"10,000+"
Personalization,4.58,73,Varies with device,111.1242,Everyone,Jan 20 2020,Varies with device,Varies with device,"1,000+"
Health And Fitness,4.33,127,13M,Free,Everyone,Mar 18 2020,2.1,4.1 and up,"50,000+"
Game Role Playing,4.12,6660,65M,Free,Teen,Apr 07 2020,4.0.17,4.4 and up,"1,000,000+"
Maps And Navigation,3.3,19,6.0M,Free,Everyone,Aug 16 2018,1.2,4.3 and up,"5,000+"
Game Educational,4.54,63,26M,222.9942,Everyone,Aug 02 2017,1.5.2,4.0 and up,"1,000+"
Game Puzzle,3.87,172,22M,Free,Everyone,Jul 04 2019,1.2,3.0 and up,"50,000+"
Maps And Navigation,3.13,6280,13M,Free,Everyone,Mar 06 2020,4.3.8,5.1 and up,"1,000,000+"
Photography,2.16,293,1.2M,Free,Everyone,Jun 27 2019,1.01,5.0 and up,"10,000+"
Game,4.5,29940,80M,Free,Everyone,Aug 30 2019,1.1.4,4.1 and up,"1,000,000+"
Education,2.86,7,11M,Free,Everyone,Jun 09 2019,1.0.0,4.1 and up,"1,000+"
Lifestyle,3.76,1702,3.3M,Free,Everyone,May 22 2018,1.7.10,4.0 and up,"100,000+"
Books And Reference,4.25,12,2.6M,Free,Everyone,Apr 29 2020,1.5,4.0 and up,"1,000+"
Education,4.23,39,22M,Free,Everyone,May 03 2019,1.0.2,4.1 and up,"10,000+"
Game Racing,4.31,248733,Varies with device,Free,Teen,Apr 25 2020,1.11.1,4.1 and up,"10,000,000+"
Game Arcade,4.69,29803,29M,Free,Everyone,Dec 10 2019,1.11,4.0.3 and up,"1,000,000+"
Education,4.01,207,3.9M,Free,Everyone,Nov 03 2019,2.0.6,4.0 and up,"10,000+"
Game Casual,4.33,29472,92M,Free,Everyone,Apr 28 2020,1.12.0.2,4.0 and up,"5,000,000+"
Productivity,4.58,32224,13M,Free,Everyone,Apr 24 2020,4.2.0,4.0 and up,"1,000,000+"
Game Sports,4.21,48896,25M,Free,Everyone,Jul 06 2019,1.14.0.1,4.0.3 and up,"1,000,000+"
Game,4.3,211,3.6M,Free,Everyone,Mar 02 2019,2.1,4.0.3 and up,"50,000+"
Game,4.6,4578476,24M,Free,Everyone 10+,Aug 21 2019,1.4.51,4.1 and up,"50,000,000+"
Education,4.76,926,2.7M,Free,Everyone,Oct 07 2018,1.0.6,4.0 and up,"10,000+"
Game,4.3,1017408,34M,Free,Teen,Aug 20 2019,9.2.0,4.0 and up,"10,000,000+"
Books And Reference,4.16,32,3.9M,Free,Everyone,May 11 2019,4.1,4.0.3 and up,"5,000+"
Game Word,2.33,3,48M,Free,Everyone,Jul 31 2019,1.101,2.3.3 and up,100+
News And Magazines,4.54,14678,Varies with device,Free,Teen,Apr 08 2020,Varies with device,Varies with device,"1,000,000+"
Maps And Navigation,3.64,73,6.2M,Free,Everyone,Jan 04 2020,2.0.4 (19),4.1 and up,"10,000+"
Tools,1.0,3,41M,Free,Everyone,Jan 16 2019,1.0,4.2 and up,500+
Productivity,3.29,5423,20M,Free,Everyone,Apr 29 2020,4.4.0+3628,5.0 and up,"100,000+"
Education,5.0,2,2.8M,Free,Everyone,Nov 22 2019,2,4.1 and up,50+
Medical,5.0,5,17M,Free,Everyone,Feb 24 2019,2.0,4.0 and up,"1,000+"
Finance,4.1,30,2.8M,Free,Everyone,Nov 07 2019,1.0.7,4.1 and up,"5,000+"
Finance,2.38,1565,64M,Free,Everyone,Feb 11 2020,2.0.4,5.0 and up,"100,000+"
Productivity,4.16,3371,8.5M,Free,Everyone,Feb 14 2019,2.2 (protostar),4.0 and up,"500,000+"
Game,4.5,240416,53M,Free,Everyone,Sep 05 2019,2.2.3,4.0.3 and up,"5,000,000+"
Family,4.0,39647,72M,Free,Everyone 10+,Nov 04 2018,1.7,4.0.3 and up,"10,000,000+"
Game Adventure,4.45,11037,51M,Free,Everyone,Feb 11 2020,1.2.3,4.1 and up,"1,000,000+"
Lifestyle,3.7,121,3.8M,Free,Mature 17+,Feb 02 2019,Dpstatus1.0.1,4.0.3 and up,"10,000+"
Video Players,4.34,12393,4.4M,Free,Teen,May 07 2020,1.1,4.0.3 and up,"1,000,000+"
Maps And Navigation,4.15,9877,6.6M,Free,Everyone,Oct 24 2019,2.0.4,2.3.3 and up,"500,000+"
Tools,4.07,598,26M,Free,Everyone,Apr 11 2020,2.1.70,4.4 and up,"100,000+"
Music And Audio,4.08,21829,Varies with device,Free,Everyone 10+,Jun 11 2019,Varies with device,Varies with device,"500,000+"
Productivity,3.57,969,2.9M,Free,Everyone,Nov 21 2019,3.6,4.4 and up,"50,000+"
Art And Design,4.25,93,5.6M,Free,Everyone,Sep 23 2019,Varies with device,Varies with device,"50,000+"
Shopping,4.3,105773,Varies with device,Free,Everyone,Sep 09 2019,Varies with device,4.4 and up,"10,000,000+"
Game Casino,4.56,1080177,Varies with device,Free,Teen,Apr 29 2020,3.28,4.0.3 and up,"10,000,000+"
Education,4.44,271,4.2M,Free,Everyone,Oct 05 2018,1.2.0,4.0 and up,"10,000+"
Entertainment,4.54,87,39M,Free,Everyone,Jul 20 2017,1,2.3.3 and up,"10,000+"
Food And Drink,4.85,2968,15M,Free,Everyone,Apr 28 2020,1.21,4.4 and up,"100,000+"
Medical,4.27,201,5.8M,Free,Everyone 10+,Apr 15 2020,1.10.3,4.1 and up,"50,000+"
Health And Fitness,3.26,200,4.0M,Free,Everyone,Jun 27 2018,1.0.2,4.0.3 and up,"10,000+"
Weather,4.41,905,11M,Free,Everyone,Apr 26 2020,2.1.7,5.0 and up,"100,000+"
Education,4.3,206527,21M,Free,Everyone 10+,Sep 05 2019,13.9.0.161,5.0 and up,"10,000,000+"
Game Simulation,4.26,336,4.7M,Free,Everyone,Mar 31 2020,1.18,4.0 and up,"100,000+"
Education,4.35,271,16M,Free,Everyone,Mar 25 2020,1,4.2 and up,"100,000+"
Tools,4.57,245,1.8M,Free,Everyone,Dec 18 2019,1.0.6,2.3 and up,"10,000+"
Art And Design,4.23,26185,12M,Free,Everyone,May 07 2020,2.8.72,4.4 and up,"1,000,000+"
Video Players,4.36,205357,6.9M,Free,Everyone,Feb 15 2020,3.1,4.1 and up,"5,000,000+"
Health And Fitness,4.6,548021,27M,Free,Everyone,Sep 06 2019,P5.7.1,4.1 and up,"10,000,000+"
Education,4.0,2,40M,577.2492,Everyone,Sep 25 2019,7,2.2 and up,10+
Education,4.02,271,8.5M,Free,Everyone,Nov 06 2018,1.5,3.0 and up,"100,000+"
Medical,3.93,433,11M,Free,Everyone,Mar 18 2020,1.11.31,4.0 and up,"100,000+"
Business,2.73,169,7.1M,Free,Everyone,Apr 29 2020,1.4,5.0 and up,"10,000+"
Game Trivia,4.33,3,2.7M,Free,Everyone,Nov 22 2019,6,4.1 and up,500+
Sports,4.29,2133,27M,Free,Everyone,Jan 05 2020,3.2.8,4.1 and up,"100,000+"
Family,4.8,38,6.7M,Free,Everyone,Jul 20 2019,5.2,4.4 and up,"1,000+"
Game Arcade,4.26,217,36M,Free,Everyone,Feb 21 2020,1.1.6,4.1 and up,"10,000+"
Productivity,3.71,17,2.5M,Free,Everyone,May 12 2019,0.1.1,4.0.3 and up,"1,000+"
Family,4.5,45458,35M,Free,Mature 17+,Sep 07 2019,1.5.49,4.4 and up,"1,000,000+"
Game Role Playing,4.51,7874,26M,372.1542,Everyone 10+,Feb 16 2020,1.4.7,2.3 and up,"100,000+"
Finance,3.45,171,3.5M,Free,Everyone,Sep 13 2018,1.4,1.6 and up,"10,000+"
Photography,4.55,7114,3.9M,Free,Everyone,Aug 03 2019,3.4.7,4.4 and up,"100,000+"
Books And Reference,3.9,9,8.8M,Free,Everyone,Nov 22 2018,1.6,4.4 and up,"1,000+"
Lifestyle,4.56,320,Varies with device,Free,Everyone,Mar 31 2020,Varies with device,Varies with device,"100,000+"
Art And Design,4.14,7,1.3M,Free,Everyone,Dec 04 2018,1.1.1,4.0.3 and up,500+
Auto And Vehicles,4.56,721,6.0M,Free,Everyone,Apr 04 2020,1.11.6,4.0.3 and up,"10,000+"
Game Arcade,4.04,56,48M,Free,Everyone,Oct 19 2019,1.1,4.0 and up,"10,000+"
Photography,4.28,316654,17M,Free,Everyone,May 06 2020,1.7.20,4.0.3 and up,"10,000,000+"
Finance,4.38,173,Varies with device,Free,Everyone,Apr 25 2020,1.5.17,Varies with device,"10,000+"
Education,4.37,24099,16M,Free,Everyone,Apr 24 2020,9.23,4.1 and up,"1,000,000+"
Communication,4.59,300394,39M,Free,Everyone,May 06 2020,4.36.2,4.0 and up,"10,000,000+"
Tools,4.4,1063,2.2M,Free,Everyone,Nov 30 2019,1.1,4.0 and up,"500,000+"
Entertainment,4.59,1173,3.1M,Free,Everyone,Jun 02 2019,1.0.1,4.1 and up,"50,000+"
Maps And Navigation,4.17,127,30M,Free,Everyone,Oct 03 2019,2.1.0,5.0 and up,"10,000+"
Education,4.07,12810,6.8M,Free,Everyone,Oct 24 2019,7.2,4.0.3 and up,"1,000,000+"
Entertainment,4.63,502,22M,Free,Everyone,May 06 2020,6.3,4.0.3 and up,"100,000+"
Education,3.9,1239,1.8M,Free,Everyone,Sep 02 2017,4.4.1,3.2 and up,"100,000+"
Game Racing,4.62,3208255,Varies with device,Free,Everyone,May 06 2020,1.24.2,4.2 and up,"100,000,000+"
Tools,4.67,58272,4.9M,Free,Everyone,Jul 11 2019,3.23,4.0.3 and up,"1,000,000+"
Game Adventure,4.54,3983949,Varies with device,Free,Teen,Mar 18 2020,2.27,4.0.3 and up,"100,000,000+"
Books And Reference,4.3,241,20M,Free,Everyone,Mar 20 2019,1.0,4.0.3 and up,"100,000+"
Game Casual,4.0,17937,19M,Free,Everyone,Feb 25 2016,1.5.6.6,2.2 and up,"500,000+"
Libraries And Demo,5.0,2,1.3M,Free,Everyone,Nov 16 2019,1.0.14,5.0 and up,50+
Health And Fitness,4.65,3896,3.6M,Free,Everyone,Mar 13 2020,1.4.10,4.0.3 and up,"1,000,000+"
Education,4.69,2242,3.6M,Free,Everyone,Feb 26 2020,3.1,4.0.3 and up,"100,000+"
Productivity,4.49,207,5.2M,Free,Everyone,Apr 17 2020,16,5.0 and up,"10,000+"
Entertainment,4.13,216,2.1M,Free,Everyone,Nov 07 2019,1,2.3 and up,"100,000+"
Family,3.3,21735,37M,Free,Everyone,Aug 15 2019,1.0.03,4.0 and up,"1,000,000+"
News And Magazines,4.81,3745,11M,Free,Mature 17+,Apr 30 2020,3.0.13,5.0 and up,"100,000+"
Communication,4.2,44706,Varies with device,Free,Everyone,Aug 29 2019,Varies with device,Varies with device,"1,000,000+"
Game Card,4.33,4961,14M,Free,Everyone,Mar 30 2020,1.12,4.1 and up,"500,000+"
Entertainment,4.54,3253,4.2M,Free,Everyone,Mar 30 2020,8,4.1 and up,"100,000+"
Business,4.52,35595,Varies with device,Free,Everyone,May 07 2020,Varies with device,Varies with device,"1,000,000+"
Game Puzzle,4.31,1147,71M,Free,Everyone,Sep 24 2019,1.6.3,5.0 and up,"100,000+"
Tools,4.74,12546,14M,Free,Everyone,Jul 10 2019,8,4.0.3 and up,"500,000+"
Game Word,4.72,3042,33M,Free,Everyone,Feb 15 2020,1.0.52,3.0 and up,"100,000+"
Family,4.1,1998,9.8M,Free,Everyone,Jul 26 2018,4.0.0,4.0 and up,"100,000+"
Shopping,4.61,6248,75M,Free,Everyone,Apr 29 2020,3.4.5,5.0 and up,"100,000+"
Education,5.0,3,28M,Free,Everyone,Jul 06 2019,2,4.0.3 and up,"1,000+"
Medical,4.14,7,21M,Free,Everyone,Dec 21 2018,1,5.0 and up,100+
Game Sports,4.01,4282,49M,Free,Everyone,Oct 28 2017,1.6,4.0 and up,"100,000+"
Game Arcade,4.48,4144,42M,111.1242,Everyone,Jan 21 2016,1.0.9,2.3.3 and up,"10,000+"
Game Puzzle,4.35,320,37M,Free,Everyone,Aug 16 2019,1.1.2,4.0 and up,"100,000+"
Family,4.5,112,39M,Free,Everyone,Jul 10 2019,1.5,4.0 and up,"10,000+"
Productivity,4.65,1326,49k,742.0709999999999,Teen,Sep 20 2019,1.7.3,2.2 and up,"10,000+"
Game Role Playing,4.13,1773,3.4M,Free,Everyone 10+,Nov 20 2019,1.0.6,4.0 and up,"100,000+"
Game Arcade,4.73,257,1.8M,111.1242,Everyone,Mar 12 2019,1.17.1,2.2 and up,"1,000+"
Shopping,4.6,1590,20M,Free,Everyone,Mar 28 2020,1.2,4.0.3 and up,"100,000+"
Productivity,4.6,102594,15M,Free,Everyone,Aug 27 2019,2.30.1,4.1 and up,"5,000,000+"
Art And Design,4.59,3864,15M,Free,Everyone,May 06 2020,1.14,4.1 and up,"100,000+"
Game Casual,3.67,76,11M,Free,Everyone,Nov 09 2019,1.3.3,4.0 and up,"5,000+"
News And Magazines,4.29,125,15M,Free,Everyone,Feb 12 2020,1.0.2,4.2 and up,"10,000+"
Video Players,3.96,3408,19M,Free,Everyone,Feb 18 2020,0.1.12,4.2 and up,"1,000,000+"
Entertainment,4.49,53,88M,Free,Everyone,Jan 28 2020,2,2.3 and up,"10,000+"
Game Strategy,4.32,31308,55M,Free,Everyone 10+,Feb 27 2020,1.108,4.0.3 and up,"500,000+"
Game Strategy,4.42,11003,93M,Free,Everyone,Mar 07 2019,1.07,2.3 and up,"500,000+"
Education,4.27,241,37M,Free,Everyone,Sep 28 2017,1.0.4,2.3 and up,"50,000+"
Social,4.4,1520959,Varies with device,Free,Teen,Jun 13 2019,Varies with device,Varies with device,"10,000,000+"
Medical,3.71,79,15M,Free,Everyone,Feb 26 2020,1.2.10,4.0 and up,"10,000+"
Sports,4.22,2137,3.4M,Free,Everyone,May 06 2020,2.4.0,4.0 and up,"100,000+"
House And Home,4.5,162243,12M,Free,Everyone,Aug 30 2019,8.18,4.0.3 and up,"10,000,000+"
Travel And Local,2.96,8034,17M,Free,Everyone,Jan 04 2020,2.4.0,4.1 and up,"1,000,000+"
Game Simulation,4.7,141486,57M,Free,Everyone 10+,Sep 01 2018,1.0.2,2.3.3 and up,"1,000,000+"
Education,4.63,1920,2.2M,Free,Everyone,Jan 26 2020,1.8-free,4.0.3 and up,"100,000+"
Game Racing,4.33,36268,Varies with device,Free,Teen,Dec 24 2019,1.3.7,4.1 and up,"1,000,000+"
Lifestyle,4.31,102691,17M,Free,Everyone,Feb 18 2020,2.1.3,4.1 and up,"1,000,000+"
Education,4.62,37,4.6M,Free,Everyone,Jan 31 2020,3.4.8,4.0.3 and up,"10,000+"
Dating,3.5,35,16M,Free,Mature 17+,Aug 20 2019,2.4,4.0.3 and up,"1,000+"
Productivity,2.6,80,2.2M,Free,Everyone,Jun 15 2018,2.129.12,4.1 and up,"10,000+"
Video Players,4.1,40,3.9M,Free,Everyone,Aug 17 2018,1.0.0,5.0 and up,"1,000+"
Finance,4.29,344,3.9M,Free,Everyone,Sep 27 2019,1.5.1,4.0.3 and up,"100,000+"
Business,4.49,9067,5.3M,Free,Everyone,Feb 11 2020,7.9.7,4.1 and up,"500,000+"
Entertainment,4.2,98509,Varies with device,Free,Everyone,Aug 02 2019,Varies with device,Varies with device,"5,000,000+"
Health And Fitness,4.7,416,34M,521.3142,Everyone,Aug 06 2019,1.3.7,4.1 and up,"10,000+"
Lifestyle,4.5,3787,1.6M,Free,Everyone,Feb 08 2020,1.0.4,4.0 and up,"100,000+"
Entertainment,4.0,1,37M,Free,Everyone,Sep 12 2019,5.0.46,4.1 and up,"1,000+"
Game Card,4.23,676,3.9M,Free,Everyone,Mar 06 2020,1.3,4.0 and up,"100,000+"
Education,4.5,1270,47M,Free,Everyone,May 03 2020,1.8.2,4.2 and up,"100,000+"
Education,4.46,41,18M,Free,Everyone,Mar 24 2020,1.9,4.0 and up,"10,000+"
Education,3.05,396,6.0M,Free,Everyone,Apr 22 2020,1.0.16,5.0 and up,"50,000+"
Game Card,4.49,18008,Varies with device,Free,Teen,May 01 2020,Varies with device,Varies with device,"500,000+"
Entertainment,4.23,924,5.8M,Free,Everyone,Oct 17 2019,1,2.3 and up,"100,000+"
Finance,3.19,1420,9.3M,Free,Everyone,Mar 13 2020,2.2.2,4.0 and up,"100,000+"
Dating,4.35,8038,6.3M,Free,Mature 17+,Apr 23 2020,1.1.5,4.0.3 and up,"500,000+"
Game Puzzle,5.0,3,33M,Free,Everyone,Jul 27 2019,1.0.0,4.0.3 and up,10+
Travel And Local,4.05,2546,15M,Free,Everyone,May 01 2020,3.3.0,4.4 and up,"1,000,000+"
News And Magazines,4.27,1640,16M,Free,Everyone,Apr 09 2020,5.5.22,5.0 and up,"100,000+"
Game Casual,4.61,117538,30M,Free,Everyone,Apr 25 2020,5.5,4.4 and up,"10,000,000+"
Education,4.56,174,4.1M,Free,Everyone,Feb 19 2019,1.1,4.0 and up,"100,000+"
Tools,3.59,3655,1.7M,Free,Everyone,Jan 04 2020,1.1.0,4.0 and up,"500,000+"
Education,4.38,21,44M,Free,Everyone,Mar 31 2020,3,8.0 and up,"1,000+"
Education,4.0,27,33M,Free,Everyone,Feb 02 2020,1.4,4.0.3 and up,"10,000+"
Art And Design,3.8,178,19M,Free,Everyone,May 31 2019,1.1,4.0.3 and up,"50,000+"
Game Casual,4.23,1398,100M,Free,Everyone,Mar 05 2020,1.41,4.4 and up,"50,000+"
Events,4.77,841,9.1M,Free,Everyone,Mar 07 2020,3.4.3,4.1 and up,"50,000+"
Photography,4.57,20419,Varies with device,Free,Everyone,Mar 27 2020,Varies with device,Varies with device,"1,000,000+"
Photography,4.49,562306,24M,Free,Everyone,Apr 07 2020,4.0.8,4.1 and up,"10,000,000+"
Shopping,3.83,51952,23M,Free,Everyone,May 01 2020,8.1.0,4.4 and up,"10,000,000+"
Game Puzzle,4.65,2538,45M,Free,Everyone,Jun 25 2018,1.0.1,4.0 and up,"100,000+"
Books And Reference,4.6,178,19M,Free,Everyone,Nov 13 2019,4,4.0 and up,"50,000+"
Family,4.6,10247,15M,Free,Everyone,Aug 31 2019,1.3.13,4.1 and up,"1,000,000+"
Game Educational,4.53,30,23M,148.4142,Everyone,Apr 28 2018,4.0.0,2.3 and up,"1,000+"
Shopping,4.26,648,6.2M,Free,Everyone,Dec 31 2019,0.0.1,4.4 and up,"10,000+"
Education,4.55,7450,35M,Free,Everyone,May 02 2020,7.1.2,4.1 and up,"500,000+"
Entertainment,3.98,46708,17M,Free,Everyone,Mar 31 2020,4.5.8,4.1 and up,"10,000,000+"
Comics,4.21,13534,11M,Free,Everyone,Mar 29 2020,1.0.10,4.0.3 and up,"1,000,000+"
Lifestyle,4.78,90,7.5M,Free,Everyone,Mar 22 2020,1.3,4.1 and up,"10,000+"
Lifestyle,4.36,1163,5.9M,Free,Everyone,Feb 14 2018,1.5.0,4.0 and up,"100,000+"
Health And Fitness,4.5,706,9.4M,Free,Everyone,Aug 28 2019,1.0.5,4.1 and up,"100,000+"
Lifestyle,4.2,312,5.2M,Free,Everyone,Dec 05 2019,3,4.0 and up,"50,000+"
Auto And Vehicles,4.16,792,39M,Free,Everyone,Mar 25 2020,1.2,4.0 and up,"1,000,000+"
Tools,3.77,13,8.3M,Free,Everyone,Apr 09 2020,1.1,5.0 and up,"1,000+"
Food And Drink,4.62,104,29M,Free,Everyone,Dec 20 2019,2.1,4.1 and up,"10,000+"
Personalization,4.3,88,4.2M,Free,Everyone,Feb 28 2019,7.0,4.0.3 and up,"1,000+"
Photography,4.55,10852,4.3M,Free,Everyone,May 15 2019,1.2.2.2,4.3 and up,"500,000+"
Education,4.46,287,4.5M,Free,Everyone,Mar 14 2020,5.1,4.0.3 and up,"100,000+"
Game Racing,4.05,11765,20M,Free,Everyone,Apr 24 2019,4,4.0 and up,"1,000,000+"
Communication,4.2,83239,14M,Free,Everyone,May 24 2019,3.0.4,4.0 and up,"5,000,000+"
Game Strategy,4.4,775829,88M,Free,Everyone,Apr 17 2020,6.2.1,4.0.3 and up,"10,000,000+"
Medical,4.35,601,4.6M,Free,Everyone,Mar 24 2020,1.5,2.3 and up,"100,000+"
Tools,4.9,29,16M,Free,Everyone,Apr 02 2020,2,4.1 and up,500+
Education,4.67,103,12M,Free,Everyone,Nov 05 2019,2.5,4.0.3 and up,"10,000+"
Productivity,4.46,319,31M,Free,Everyone,Mar 22 2020,1.4.1,5.0 and up,"50,000+"
Dating,2.5,5377,19M,Free,Mature 17+,Sep 04 2019,4.8.5,4.0.3 and up,"500,000+"
Game Casual,3.93,6393,2.2M,Free,Everyone,Dec 05 2019,1.0.4,4.0 and up,"500,000+"
Food And Drink,4.67,6,7.8M,Free,Everyone,Aug 29 2019,1.2,4.0 and up,"1,000+"
Game Strategy,4.59,13753,34M,148.4142,Everyone 10+,May 07 2020,1.98,4.0.3 and up,"500,000+"
Medical,4.65,29306,34M,Free,Everyone,Feb 19 2020,3,4.0 and up,"1,000,000+"
Books And Reference,4.9,659,5.0M,Free,Everyone,Oct 02 2018,4.4.5,4.0 and up,"10,000+"
Tools,4.4,139480,Varies with device,Free,Everyone,May 24 2019,V150,4.1 and up,"5,000,000+"
Game Action,3.93,28661,Varies with device,Free,Everyone,Dec 04 2019,Varies with device,Varies with device,"1,000,000+"
Game Card,3.63,1292,3.5M,Free,Everyone,Aug 07 2019,1.27.0,4.0 and up,"100,000+"
Game,4.6,7671249,Varies with device,Free,Mature 17+,Sep 06 2019,Varies with device,Varies with device,"100,000,000+"
Education,4.18,580,5.2M,Free,Everyone,Apr 14 2020,1.0.5,4.1 and up,"100,000+"
